"","3MIN","7.5MIN","15MIN","30MIN","60MIN","110MIN","2.5H","5H","0MIN"
"YER132C",1.1024028,1.1307991,0.99179664,0.97940347,0.57280238,0.14660309,0.13830334,0.076093855,0
"YER133W",-0.60630045,-0.66829937,-0.59399893,-0.66429952,-0.80340051,-0.57480068,-0.61179944,-0.54109939,0
"YER134C",-0.17980061,-0.095399528,0.018306575,0.23419472,0.35550122,0.5015971,0.47050042,0.52609887,0
"YER135C",-0.10279985,0.052193282,-0.010199758,-0.031400477,0.053806444,0.054598458,0.000302934,0.030604462,0
"YER136W",-0.47070077,-0.23559949,-0.17710021,-0.55050096,-0.48220024,-0.51009952,-0.66400004,-0.44030067,0
"YER137C",0.73650097,0.74009861,0.6660021,0.7831968,0.41930157,-0.42160032,-0.32769958,-0.34089929,0
"YER138W-A",-0.56379977,-0.41409909,-0.51539987,-0.29779994,-0.35740008,-0.49239917,-0.48300052,-0.35929949,0
"YER139C",-0.63200055,-0.71089976,-0.34480023,-0.30590074,-0.57919964,-0.38349926,-0.32299969,-0.24360006,0
"YER140W",0.47829882,0.56800291,0.47030258,0.59259816,0.47279967,0.30730028,0.30430076,0.19129733,0
"YER141W",-1.2987011,-1.8734024,-2.0866973,-2.874095,-3.3441998,-2.6281981,-2.708802,-2.5446031,0
"YER142C",-0.47850094,-0.47850094,-0.27739933,-1.1700985,-1.4020008,-1.0469002,-0.99629991,-0.84009961,0
"YER143W",-0.28080079,0.06820302,-0.039099867,-0.36419918,-0.31149913,0.10579874,-0.023900363,0.12900599,0
"YER144C",0.14179898,0.094506339,0.087001105,0.10940068,0.24620132,0.21209614,0.21040133,0.13199767,0
"YER145C",0.85299759,0.47670311,0.18760308,0.29269931,0.34680375,0.4179956,0.3572029,0.39020542,0
"YER146W",0.4396976,0.23080555,0.36310378,0.63590295,0.70719787,0.64659586,0.77760277,0.70120303,0
"YER147C",-0.028500222,-0.10649955,-0.15250011,-0.35879989,-0.62380076,-0.71949972,-0.66099948,-0.74490056,0
"YER148W",0.41460102,0.20730566,0.17670574,0.087001105,-0.27540037,-0.34270025,-0.27629991,-0.35270023,0
"YER149C",0.23269759,0.04170558,-0.003400108,0.1897044,0.58500097,0.52750078,0.66899954,0.4808028,0
"YER150W",-0.26279955,-0.56160068,-0.77230081,-1.1787992,-1.9626993,-3.9072989,-3.5960997,-4.0400008,0
"YER151C",0.043498496,0.009003121,0.15340327,-0.13860039,-0.46089977,-0.2867001,-0.30490058,-0.25950067,0
"YER152C",-0.099500637,-0.010400276,0.058593577,0.081394171,0.6086011,1.0089028,0.78290336,1.0288025,0
"YER153C",0.275901,0.45659591,0.8451006,1.5437978,1.9726008,2.5714001,2.5819995,2.4602,0
"YER154W",0.67609586,0.87230082,0.65510449,0.26399588,0.22300235,0.26239707,0.14300151,0.25990518,0
"YER155C",0.38749489,0.38460246,0.5972022,0.44789653,0.31189832,0.41949574,0.328802,0.3302945,0
"YER156C",0.96220103,1.1029,1.1812998,1.3212989,0.97930103,1.1525015,1.200203,1.0780974,0
"YER157W",0.22490464,-0.059800167,0.085098279,0.34460128,0.60000327,0.58210313,0.7602976,0.7411002,0
"YER158C",-0.83129892,-1.0529009,-0.86419986,-1.1752012,-1.2092013,-1.3391006,-1.4198005,-1.3163017,0
"YER159C",-0.037199291,0.083506133,0.11459357,0.079005975,-0.12730045,-0.18050021,-0.18300061,-0.18219995,0
"YER161C",-0.22670072,-0.15140049,-0.23930044,-0.16580011,-0.30319957,-0.5750994,-0.55550043,-0.59580096,0
"YER162C",-0.88889923,-1.0381989,-1.1778001,-1.743598,-2.7441972,-2.5209019,-2.6729013,-2.4465962,0
"YER163C",0.090406329,0.081503251,0.022602176,0.049393784,0.089403234,0.097799548,0.053097431,0.098203932,0
"YER164W",0.78900303,0.90350109,0.8353016,0.8570972,0.72380318,0.64419778,0.62159946,0.42159764,0
"YER165W",0.59239724,1.1178014,1.0024001,1.0061975,0.94479849,0.87600019,0.73040085,0.87629887,0
"YER166W",0.11009593,-0.015200686,0.068106691,0.01339794,0.14889507,0.33969611,0.34929733,0.32100447,0
"YER167W",0.060005867,-0.14260018,-0.073699925,-0.074199535,-0.19909969,-0.3513008,-0.34950011,-0.44490046,0
